# Code: sensitivity_master_dec2011.c (sll - 3 May 2012 Build), with reddening
# based on WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# -------------------------------------------
# For this data file:
# -------------------------------------------
# Base Filename = LISA2018_esaSTD 
# SNR = 1.000000 
# Optics diameter = 0.300000 meters
# Armlength = 2.500000e+09 meters
# Laser power = 1.000000 Watts
# Wavelength = 1.064000e-06 m
# Optical train efficiency = 0.300000 
# Reddening (1 + fr/f) @ fr = 0.000400 Hz
# Reddening index (1 + fr/f)^Ri -- Ri = 2.000000 
# Reddening 2 (1 + fr/f) @ fr = 0.000000 Hz
# Reddening index 2 (1 + fr/f)^Ri -- Ri = 8.000000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.524300e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
# -------------------------------------------
# f [Hz],hf [Hz^(-1/2)]
2.407814e-04,5.249737e-18
2.463915e-04,4.929862e-18
2.521324e-04,4.630456e-18
2.580071e-04,4.350171e-18
2.640188e-04,4.087747e-18
2.701704e-04,3.842021e-18
2.764653e-04,3.611892e-18
2.829070e-04,3.396332e-18
2.894987e-04,3.194393e-18
2.962440e-04,3.005180e-18
3.031465e-04,2.827862e-18
3.102098e-04,2.661661e-18
3.174378e-04,2.505849e-18
3.248339e-04,2.359757e-18
3.324026e-04,2.222744e-18
3.401477e-04,2.094223e-18
3.480731e-04,1.973646e-18
3.561832e-04,1.860495e-18
3.644823e-04,1.754291e-18
3.729747e-04,1.654586e-18
3.816651e-04,1.560960e-18
3.905577e-04,1.473023e-18
3.996578e-04,1.390408e-18
4.089697e-04,1.312778e-18
4.184987e-04,1.239810e-18
4.282498e-04,1.171209e-18
4.382280e-04,1.106697e-18
4.484387e-04,1.046016e-18
4.588874e-04,9.889209e-19
4.695794e-04,9.351878e-19
4.805206e-04,8.846037e-19
4.917167e-04,8.369724e-19
5.031738e-04,7.921079e-19
5.148976e-04,7.498398e-19
5.268949e-04,7.100047e-19
5.391715e-04,6.724534e-19
5.517341e-04,6.370451e-19
5.645896e-04,6.036472e-19
5.777444e-04,5.721381e-19
5.912059e-04,5.424014e-19
6.049810e-04,5.143302e-19
6.190771e-04,4.878237e-19
6.335016e-04,4.627876e-19
6.482622e-04,4.391341e-19
6.633666e-04,4.167808e-19
6.788231e-04,3.956500e-19
6.946397e-04,3.756698e-19
7.108249e-04,3.567726e-19
7.273870e-04,3.388951e-19
7.443352e-04,3.219776e-19
7.616783e-04,3.059646e-19
7.794252e-04,2.908043e-19
7.975859e-04,2.764474e-19
8.161697e-04,2.628481e-19
8.351864e-04,2.499638e-19
8.546462e-04,2.377538e-19
8.745595e-04,2.261803e-19
8.949368e-04,2.152078e-19
9.157887e-04,2.048030e-19
9.371265e-04,1.949346e-19
9.589617e-04,1.855729e-19
9.813056e-04,1.766905e-19
1.004170e-03,1.682613e-19
1.027567e-03,1.602608e-19
1.051509e-03,1.526660e-19
1.076010e-03,1.454553e-19
1.101081e-03,1.386083e-19
1.126736e-03,1.321058e-19
1.152989e-03,1.259297e-19
1.179853e-03,1.200631e-19
1.207344e-03,1.144898e-19
1.235475e-03,1.091948e-19
1.264262e-03,1.041638e-19
1.293719e-03,9.938345e-20
1.323863e-03,9.484095e-20
1.354709e-03,9.052439e-20
1.386273e-03,8.642247e-20
1.418573e-03,8.252454e-20
1.451626e-03,7.882051e-20
1.485449e-03,7.530088e-20
1.520060e-03,7.195668e-20
1.555477e-03,6.877940e-20
1.591720e-03,6.576101e-20
1.628807e-03,6.289391e-20
1.666758e-03,6.017091e-20
1.705594e-03,5.758522e-20
1.745334e-03,5.513042e-20
1.786000e-03,5.280040e-20
1.827614e-03,5.058937e-20
1.870198e-03,4.849188e-20
1.913773e-03,4.650272e-20
1.958364e-03,4.461697e-20
2.003994e-03,4.282999e-20
2.050688e-03,4.113722e-20
2.098468e-03,3.953458e-20
2.147363e-03,3.801794e-20
2.197395e-03,3.658355e-20
2.248596e-03,3.522764e-20
2.300987e-03,3.394684e-20
2.354600e-03,3.273773e-20
2.409463e-03,3.159713e-20
